Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Grade,Length,Route Crag,Route State
2020-09-19,When It All Comes Crashing Down,5.9-,Just p1,https://www.mountainproject.com/route/114956407/when-it-all-comes-crashing-down,1,Colorado > South Platte > Devil's Head > Recovery Wall,2.5,-1,TR,Not Led,Sport,Not Assigned,150.0,Recovery Wall,Colorado
2020-09-19,Procrastinator,5.10b,Some falls,https://www.mountainproject.com/route/112159643/procrastinator,1,Colorado > South Platte > Devil's Head > Recovery Wall,3.7,4,TR,Not Led,Sport,Not Assigned,80.0,Recovery Wall,Colorado
2020-09-15,Aphrodite,5.9+,Clean tr,https://www.mountainproject.com/route/105872827/aphrodite,1,Colorado > Colorado Springs > Red Rock Canyon Open Space > The Whale,2.6,-1,TR,Not Led,Sport,Not Assigned,90.0,The Whale,Colorado
2020-09-07,Thermal Breakdown,5.9+,No Notes,https://www.mountainproject.com/route/105849180/thermal-breakdown,1,Nevada > Southern Nevada > Red Rocks > 04-Second Pullout (Calico II) > The Black Corridor > Upper Level > Upper Level - Left,2.1,-1,TR,Not Led,Sport,Not Assigned,50.0,Upper Level - Left,Nevada
2020-09-07,Unknown 5.9 (AKA L2),5.9,Clean no falls ,https://www.mountainproject.com/route/106755212/unknown-59-aka-l2,1,Nevada > Southern Nevada > Red Rocks > 04-Second Pullout (Calico II) > The Black Corridor > Lower Level > Lower Level - Left,2.2,-1,TR,Not Led,Sport,Not Assigned,50.0,Lower Level - Left,Nevada
2020-09-07,The CEL,5.9,No Notes,https://www.mountainproject.com/route/105826083/the-cel,1,Nevada > Southern Nevada > Red Rocks > 04-Second Pullout (Calico II) > The Black Corridor > Lower Level > Lower Level - Left,2.1,-1,TR,Not Led,Sport,Not Assigned,80.0,Lower Level - Left,Nevada
2020-09-05,Dark Shadows,5.8,Clean,https://www.mountainproject.com/route/105732380/dark-shadows,4,Nevada > Southern Nevada > Red Rocks > 10-Pine Creek Canyon > Mescalito > Dark Shadows Wall,3.6,4,Follow,Not Led,Trad,Not Assigned,350.0,Dark Shadows Wall,Nevada
2020-09-04,757 2x4,5.7,No Notes,https://www.mountainproject.com/route/105826075/757-2x4,1,Nevada > Southern Nevada > Red Rocks > 04-Second Pullout (Calico II) > The Black Corridor > Upper Level > Upper Level - Right,2.3,-1,Follow,Not Led,Sport,Not Assigned,75.0,Upper Level - Right,Nevada
2020-09-04,Vagabonds,5.10a,No Notes,https://www.mountainproject.com/route/105733016/vagabonds,1,Nevada > Southern Nevada > Red Rocks > 04-Second Pullout (Calico II) > The Black Corridor > Lower Level > Lower Level - Left,2.7,-1,Follow,Not Led,Sport,Not Assigned,70.0,Lower Level - Left,Nevada
2020-09-04,Bon Ez,5.9+,No Notes,https://www.mountainproject.com/route/105732512/bon-ez,1,Nevada > Southern Nevada > Red Rocks > 04-Second Pullout (Calico II) > The Black Corridor > Lower Level > Lower Level - Left,2.3,-1,Follow,Not Led,Sport,Not Assigned,80.0,Lower Level - Left,Nevada
